"(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(1, 12)","(1, 13)","(1, 14)","(1, 15)","(1, 16)","(1, 17)","(1, 18)","(1, 19)","(1, 20)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(2, 12)","(2, 13)","(2, 14)","(2, 15)","(2, 16)","(2, 17)","(2, 18)","(2, 19)","(2, 20)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(3, 12)","(3, 13)","(3, 14)","(3, 15)","(3, 16)","(3, 17)","(3, 18)","(3, 19)","(3, 20)"
"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]"
"[0.382, 0.218, 0.2, 0.2]","[0.254, 0.345, 0.201, 0.2]","[0.2, 0.2, 0.317, 0.283]","[0.2, 0.279, 0.32, 0.201]","[0.2, 0.2, 0.2, 0.4]","[0.392, 0.208, 0.2, 0.2]","[0.2, 0.2, 0.398, 0.202]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.394, 0.206]","[0.397, 0.203, 0.2, 0.2]","[0.2, 0.2, 0.395, 0.205]","[0.398, 0.202, 0.2, 0.2]","[0.2, 0.398, 0.202, 0.2]","[0.2, 0.2, 0.2, 0.4]","[0.293, 0.306, 0.2, 0.2]","[0.2, 0.2, 0.39, 0.21]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.2, 0.4]","[0.384, 0.216, 0.2, 0.2]","[0.2, 0.2, 0.396, 0.204]","[0.2, 0.343, 0.256, 0.2]","[0.222, 0.376, 0.201, 0.2]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.2, 0.395, 0.205]","[0.2, 0.2, 0.2, 0.4]","[0.365, 0.235, 0.2, 0.2]","[0.2, 0.396, 0.204, 0.2]","[0.351, 0.249, 0.2, 0.2]","[0.2, 0.343, 0.257, 0.2]","[0.2, 0.378, 0.222, 0.2]","[0.2, 0.2, 0.386, 0.214]","[0.325, 0.275, 0.2, 0.2]","[0.369, 0.231, 0.2, 0.2]","[0.2, 0.2, 0.334, 0.266]","[0.338, 0.262, 0.2, 0.2]","[0.2, 0.2, 0.383, 0.217]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.383, 0.217, 0.2]","[0.2, 0.2, 0.353, 0.247]","[0.378, 0.222, 0.2, 0.2]","[0.2, 0.2, 0.397, 0.203]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.375, 0.225, 0.2]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.373, 0.227, 0.2]","[0.2, 0.2, 0.298, 0.302]","[0.2, 0.2, 0.4, 0.2]","[0.2, 0.2, 0.2, 0.4]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.298, 0.301, 0.201]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.391, 0.209, 0.2]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.231, 0.354, 0.215]","[0.2, 0.2, 0.2, 0.4]","[0.2, 0.25, 0.345, 0.205]","[0.2, 0.2, 0.312, 0.288]","[0.2, 0.399, 0.201, 0.2]","[0.4, 0.2, 0.2, 0.2]","[0.2, 0.2, 0.386, 0.214]"
"[0.484, 0.196, 0.16, 0.16]","[0.203, 0.415, 0.221, 0.16]","[0.16, 0.16, 0.254, 0.426]","[0.16, 0.223, 0.455, 0.162]","[0.16, 0.16, 0.16, 0.52]","[0.314, 0.363, 0.163, 0.16]","[0.16, 0.16, 0.517, 0.163]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.16, 0.494, 0.186]","[0.513, 0.167, 0.16, 0.16]","[0.16, 0.16, 0.488, 0.192]","[0.51, 0.17, 0.16, 0.16]","[0.16, 0.515, 0.165, 0.16]","[0.16, 0.16, 0.16, 0.52]","[0.234, 0.44, 0.165, 0.16]","[0.16, 0.162, 0.509, 0.169]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.16, 0.16, 0.52]","[0.502, 0.178, 0.16, 0.16]","[0.16, 0.183, 0.493, 0.164]","[0.16, 0.443, 0.237, 0.16]","[0.178, 0.493, 0.168, 0.16]","[0.16, 0.16, 0.253, 0.427]","[0.16, 0.16, 0.485, 0.195]","[0.16, 0.16, 0.243, 0.437]","[0.487, 0.193, 0.16, 0.16]","[0.16, 0.507, 0.173, 0.16]","[0.457, 0.223, 0.16, 0.16]","[0.16, 0.274, 0.404, 0.162]","[0.16, 0.302, 0.373, 0.165]","[0.16, 0.166, 0.502, 0.172]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.16, 0.16, 0.267, 0.413]","[0.429, 0.251, 0.16, 0.16]","[0.16, 0.16, 0.496, 0.184]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.306, 0.369, 0.164]","[0.16, 0.16, 0.282, 0.398]","[0.302, 0.346, 0.192, 0.16]","[0.16, 0.16, 0.517, 0.163]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.499, 0.181, 0.16]","[0.519, 0.161, 0.16, 0.16]","[0.16, 0.496, 0.184, 0.16]","[0.16, 0.16, 0.238, 0.442]","[0.16, 0.16, 0.514, 0.166]","[0.16, 0.16, 0.16, 0.52]","[0.519, 0.161, 0.16, 0.16]","[0.16, 0.238, 0.44, 0.161]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.511, 0.169, 0.16]","[0.519, 0.161, 0.16, 0.16]","[0.16, 0.185, 0.481, 0.174]","[0.16, 0.16, 0.16, 0.52]","[0.16, 0.2, 0.476, 0.164]","[0.16, 0.16, 0.251, 0.429]","[0.16, 0.518, 0.163, 0.16]","[0.515, 0.165, 0.16, 0.16]","[0.16, 0.16, 0.508, 0.172]"
"[0.484, 0.196, 0.16, 0.16]","[0.299, 0.395, 0.177, 0.128]","[0.128, 0.128, 0.203, 0.541]","[0.128, 0.178, 0.561, 0.132]","[0.128, 0.128, 0.128, 0.616]","[0.251, 0.47, 0.151, 0.128]","[0.128, 0.146, 0.596, 0.131]","[0.128, 0.128, 0.225, 0.519]","[0.128, 0.128, 0.594, 0.15]","[0.513, 0.167, 0.16, 0.16]","[0.128, 0.128, 0.59, 0.154]","[0.51, 0.17, 0.16, 0.16]","[0.128, 0.61, 0.134, 0.128]","[0.128, 0.128, 0.128, 0.616]","[0.187, 0.545, 0.139, 0.128]","[0.128, 0.133, 0.603, 0.136]","[0.128, 0.128, 0.128, 0.616]","[0.128, 0.128, 0.128, 0.616]","[0.502, 0.178, 0.16, 0.16]","[0.128, 0.146, 0.588, 0.137]","[0.128, 0.354, 0.351, 0.167]","[0.189, 0.548, 0.135, 0.128]","[0.128, 0.128, 0.202, 0.542]","[0.128, 0.128, 0.588, 0.156]","[0.128, 0.128, 0.194, 0.55]","[0.487, 0.193, 0.16, 0.16]","[0.128, 0.605, 0.139, 0.128]","[0.457, 0.223, 0.16, 0.16]","[0.128, 0.326, 0.416, 0.13]","[0.128, 0.242, 0.298, 0.332]","[0.128, 0.133, 0.6, 0.139]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.128, 0.128, 0.214, 0.53]","[0.429, 0.251, 0.16, 0.16]","[0.128, 0.128, 0.593, 0.151]","[0.128, 0.128, 0.22, 0.524]","[0.128, 0.245, 0.454, 0.172]","[0.128, 0.128, 0.226, 0.518]","[0.242, 0.468, 0.162, 0.128]","[0.128, 0.128, 0.613, 0.131]","[0.128, 0.128, 0.2, 0.544]","[0.128, 0.598, 0.146, 0.128]","[0.611, 0.133, 0.128, 0.128]","[0.128, 0.595, 0.149, 0.128]","[0.128, 0.128, 0.249, 0.495]","[0.128, 0.128, 0.611, 0.133]","[0.128, 0.128, 0.128, 0.616]","[0.614, 0.13, 0.128, 0.128]","[0.128, 0.19, 0.552, 0.129]","[0.128, 0.128, 0.128, 0.616]","[0.128, 0.607, 0.137, 0.128]","[0.612, 0.132, 0.128, 0.128]","[0.128, 0.148, 0.585, 0.139]","[0.128, 0.128, 0.128, 0.616]","[0.128, 0.18, 0.557, 0.134]","[0.128, 0.128, 0.294, 0.45]","[0.173, 0.569, 0.131, 0.128]","[0.611, 0.133, 0.128, 0.128]","[0.128, 0.226, 0.508, 0.138]"
"[0.484, 0.196, 0.16, 0.16]","[0.299, 0.395, 0.177, 0.128]","[0.102, 0.102, 0.162, 0.633]","[0.102, 0.142, 0.648, 0.106]","[0.102, 0.102, 0.102, 0.693]","[0.251, 0.47, 0.151, 0.128]","[0.102, 0.117, 0.675, 0.106]","[0.102, 0.102, 0.18, 0.615]","[0.102, 0.102, 0.672, 0.124]","[0.513, 0.167, 0.16, 0.16]","[0.102, 0.159, 0.616, 0.123]","[0.51, 0.17, 0.16, 0.16]","[0.191, 0.599, 0.107, 0.102]","[0.102, 0.102, 0.102, 0.693]","[0.15, 0.634, 0.113, 0.102]","[0.102, 0.161, 0.627, 0.109]","[0.102, 0.102, 0.218, 0.577]","[0.102, 0.102, 0.162, 0.633]","[0.502, 0.178, 0.16, 0.16]","[0.102, 0.117, 0.67, 0.11]","[0.102, 0.283, 0.479, 0.135]","[0.151, 0.637, 0.11, 0.102]","[0.102, 0.102, 0.214, 0.581]","[0.102, 0.102, 0.67, 0.125]","[0.102, 0.102, 0.259, 0.536]","[0.487, 0.193, 0.16, 0.16]","[0.102, 0.683, 0.112, 0.102]","[0.457, 0.223, 0.16, 0.16]","[0.102, 0.261, 0.527, 0.11]","[0.102, 0.194, 0.263, 0.441]","[0.102, 0.106, 0.679, 0.112]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.102, 0.102, 0.262, 0.534]","[0.429, 0.251, 0.16, 0.16]","[0.102, 0.155, 0.622, 0.121]","[0.102, 0.102, 0.176, 0.619]","[0.102, 0.356, 0.403, 0.138]","[0.102, 0.102, 0.181, 0.614]","[0.194, 0.573, 0.131, 0.102]","[0.102, 0.102, 0.688, 0.107]","[0.102, 0.102, 0.16, 0.635]","[0.102, 0.671, 0.124, 0.102]","[0.685, 0.11, 0.102, 0.102]","[0.102, 0.664, 0.131, 0.102]","[0.102, 0.102, 0.248, 0.547]","[0.102, 0.102, 0.688, 0.107]","[0.102, 0.102, 0.141, 0.654]","[0.614, 0.13, 0.128, 0.128]","[0.102, 0.244, 0.55, 0.103]","[0.102, 0.102, 0.102, 0.693]","[0.102, 0.684, 0.111, 0.102]","[0.612, 0.132, 0.128, 0.128]","[0.102, 0.118, 0.664, 0.115]","[0.102, 0.102, 0.185, 0.61]","[0.102, 0.168, 0.621, 0.108]","[0.102, 0.102, 0.235, 0.56]","[0.138, 0.655, 0.105, 0.102]","[0.688, 0.107, 0.102, 0.102]","[0.102, 0.181, 0.606, 0.111]"
"[0.484, 0.196, 0.16, 0.16]","[0.299, 0.395, 0.177, 0.128]","[0.082, 0.082, 0.13, 0.706]","[0.082, 0.213, 0.618, 0.085]","[0.082, 0.082, 0.082, 0.754]","[0.346, 0.431, 0.121, 0.102]","[0.082, 0.094, 0.74, 0.085]","[0.082, 0.082, 0.144, 0.692]","[0.082, 0.103, 0.716, 0.099]","[0.513, 0.167, 0.16, 0.16]","[0.082, 0.22, 0.599, 0.1]","[0.51, 0.17, 0.16, 0.16]","[0.191, 0.599, 0.107, 0.102]","[0.082, 0.082, 0.134, 0.702]","[0.12, 0.704, 0.094, 0.082]","[0.082, 0.226, 0.603, 0.088]","[0.082, 0.082, 0.285, 0.551]","[0.082, 0.082, 0.13, 0.706]","[0.502, 0.178, 0.16, 0.16]","[0.082, 0.094, 0.736, 0.088]","[0.082, 0.226, 0.575, 0.116]","[0.121, 0.706, 0.092, 0.082]","[0.082, 0.082, 0.267, 0.569]","[0.082, 0.082, 0.735, 0.101]","[0.082, 0.082, 0.207, 0.629]","[0.487, 0.193, 0.16, 0.16]","[0.107, 0.721, 0.09, 0.082]","[0.457, 0.223, 0.16, 0.16]","[0.082, 0.209, 0.62, 0.089]","[0.082, 0.155, 0.21, 0.553]","[0.082, 0.093, 0.735, 0.09]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.082, 0.082, 0.249, 0.588]","[0.429, 0.251, 0.16, 0.16]","[0.082, 0.288, 0.534, 0.097]","[0.082, 0.082, 0.141, 0.695]","[0.082, 0.285, 0.519, 0.114]","[0.082, 0.082, 0.231, 0.605]","[0.155, 0.655, 0.108, 0.082]","[0.082, 0.082, 0.75, 0.086]","[0.082, 0.082, 0.128, 0.708]","[0.082, 0.736, 0.1, 0.082]","[0.685, 0.11, 0.102, 0.102]","[0.082, 0.73, 0.106, 0.082]","[0.082, 0.082, 0.198, 0.638]","[0.082, 0.097, 0.735, 0.086]","[0.082, 0.082, 0.14, 0.696]","[0.688, 0.107, 0.102, 0.102]","[0.082, 0.267, 0.558, 0.092]","[0.082, 0.082, 0.147, 0.689]","[0.082, 0.744, 0.092, 0.082]","[0.675, 0.121, 0.102, 0.102]","[0.082, 0.188, 0.638, 0.092]","[0.082, 0.082, 0.165, 0.671]","[0.082, 0.185, 0.646, 0.087]","[0.082, 0.082, 0.188, 0.648]","[0.11, 0.722, 0.086, 0.082]","[0.688, 0.107, 0.102, 0.102]","[0.082, 0.164, 0.665, 0.089]"
"[0.484, 0.196, 0.16, 0.16]","[0.299, 0.395, 0.177, 0.128]","[0.066, 0.066, 0.104, 0.765]","[0.066, 0.18, 0.684, 0.069]","[0.066, 0.066, 0.066, 0.803]","[0.346, 0.431, 0.121, 0.102]","[0.066, 0.142, 0.723, 0.07]","[0.066, 0.066, 0.181, 0.687]","[0.066, 0.082, 0.771, 0.081]","[0.513, 0.167, 0.16, 0.16]","[0.066, 0.176, 0.679, 0.08]","[0.51, 0.17, 0.16, 0.16]","[0.153, 0.643, 0.122, 0.082]","[0.066, 0.066, 0.107, 0.762]","[0.096, 0.76, 0.079, 0.066]","[0.066, 0.274, 0.59, 0.07]","[0.066, 0.066, 0.228, 0.641]","[0.066, 0.162, 0.107, 0.665]","[0.502, 0.178, 0.16, 0.16]","[0.066, 0.109, 0.755, 0.071]","[0.066, 0.181, 0.658, 0.095]","[0.097, 0.764, 0.074, 0.066]","[0.066, 0.066, 0.214, 0.655]","[0.066, 0.076, 0.778, 0.081]","[0.066, 0.066, 0.192, 0.677]","[0.487, 0.193, 0.16, 0.16]","[0.099, 0.764, 0.072, 0.066]","[0.457, 0.223, 0.16, 0.16]","[0.066, 0.216, 0.644, 0.074]","[0.066, 0.124, 0.319, 0.492]","[0.066, 0.077, 0.785, 0.072]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.066, 0.066, 0.199, 0.67]","[0.429, 0.251, 0.16, 0.16]","[0.066, 0.23, 0.627, 0.078]","[0.066, 0.066, 0.16, 0.708]","[0.066, 0.228, 0.614, 0.092]","[0.066, 0.066, 0.218, 0.651]","[0.155, 0.655, 0.108, 0.082]","[0.066, 0.066, 0.8, 0.069]","[0.066, 0.066, 0.11, 0.759]","[0.075, 0.779, 0.08, 0.066]","[0.685, 0.11, 0.102, 0.102]","[0.066, 0.784, 0.085, 0.066]","[0.066, 0.066, 0.158, 0.71]","[0.066, 0.078, 0.788, 0.069]","[0.066, 0.066, 0.112, 0.757]","[0.688, 0.107, 0.102, 0.102]","[0.066, 0.305, 0.555, 0.074]","[0.066, 0.066, 0.118, 0.751]","[0.066, 0.794, 0.074, 0.066]","[0.675, 0.121, 0.102, 0.102]","[0.066, 0.2, 0.66, 0.074]","[0.066, 0.066, 0.16, 0.709]","[0.066, 0.208, 0.657, 0.07]","[0.066, 0.066, 0.15, 0.718]","[0.202, 0.664, 0.069, 0.066]","[0.688, 0.107, 0.102, 0.102]","[0.066, 0.131, 0.732, 0.071]"
"[0.484, 0.196, 0.16, 0.16]","[0.299, 0.395, 0.177, 0.128]","[0.053, 0.053, 0.112, 0.784]","[0.053, 0.144, 0.744, 0.058]","[0.053, 0.053, 0.053, 0.842]","[0.346, 0.431, 0.121, 0.102]","[0.053, 0.114, 0.777, 0.057]","[0.053, 0.053, 0.145, 0.75]","[0.053, 0.066, 0.817, 0.065]","[0.513, 0.167, 0.16, 0.16]","[0.053, 0.141, 0.743, 0.065]","[0.51, 0.17, 0.16, 0.16]","[0.122, 0.713, 0.099, 0.066]","[0.053, 0.053, 0.133, 0.762]","[0.224, 0.661, 0.063, 0.053]","[0.053, 0.219, 0.667, 0.061]","[0.053, 0.053, 0.243, 0.652]","[0.053, 0.13, 0.086, 0.732]","[0.502, 0.178, 0.16, 0.16]","[0.053, 0.087, 0.804, 0.057]","[0.053, 0.145, 0.726, 0.076]","[0.078, 0.804, 0.066, 0.053]","[0.053, 0.053, 0.171, 0.724]","[0.053, 0.062, 0.822, 0.065]","[0.053, 0.053, 0.154, 0.742]","[0.487, 0.193, 0.16, 0.16]","[0.099, 0.764, 0.072, 0.066]","[0.457, 0.223, 0.16, 0.16]","[0.053, 0.173, 0.715, 0.06]","[0.053, 0.099, 0.346, 0.503]","[0.053, 0.138, 0.751, 0.058]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.053, 0.053, 0.173, 0.722]","[0.429, 0.251, 0.16, 0.16]","[0.053, 0.184, 0.7, 0.064]","[0.053, 0.053, 0.132, 0.763]","[0.053, 0.203, 0.671, 0.074]","[0.053, 0.053, 0.174, 0.721]","[0.124, 0.723, 0.087, 0.066]","[0.053, 0.053, 0.84, 0.055]","[0.053, 0.053, 0.088, 0.807]","[0.077, 0.806, 0.064, 0.053]","[0.685, 0.11, 0.102, 0.102]","[0.053, 0.827, 0.069, 0.053]","[0.053, 0.053, 0.126, 0.768]","[0.053, 0.062, 0.83, 0.055]","[0.053, 0.053, 0.09, 0.806]","[0.688, 0.107, 0.102, 0.102]","[0.053, 0.244, 0.643, 0.06]","[0.053, 0.053, 0.193, 0.702]","[0.053, 0.826, 0.068, 0.053]","[0.675, 0.121, 0.102, 0.102]","[0.053, 0.16, 0.728, 0.06]","[0.053, 0.053, 0.128, 0.767]","[0.053, 0.166, 0.724, 0.058]","[0.053, 0.053, 0.12, 0.774]","[0.162, 0.731, 0.055, 0.053]","[0.688, 0.107, 0.102, 0.102]","[0.053, 0.105, 0.785, 0.057]"
"[0.484, 0.196, 0.16, 0.16]","[0.366, 0.39, 0.142, 0.102]","[0.042, 0.042, 0.09, 0.827]","[0.042, 0.115, 0.794, 0.048]","[0.042, 0.094, 0.09, 0.774]","[0.346, 0.431, 0.121, 0.102]","[0.042, 0.091, 0.82, 0.047]","[0.042, 0.042, 0.189, 0.727]","[0.042, 0.053, 0.853, 0.052]","[0.513, 0.167, 0.16, 0.16]","[0.042, 0.15, 0.757, 0.053]","[0.51, 0.17, 0.16, 0.16]","[0.142, 0.726, 0.079, 0.053]","[0.042, 0.042, 0.179, 0.737]","[0.224, 0.661, 0.063, 0.053]","[0.042, 0.272, 0.636, 0.049]","[0.042, 0.042, 0.234, 0.682]","[0.042, 0.104, 0.069, 0.786]","[0.502, 0.178, 0.16, 0.16]","[0.042, 0.077, 0.835, 0.046]","[0.042, 0.116, 0.78, 0.061]","[0.078, 0.804, 0.066, 0.053]","[0.042, 0.042, 0.25, 0.666]","[0.042, 0.073, 0.834, 0.052]","[0.042, 0.042, 0.123, 0.794]","[0.487, 0.193, 0.16, 0.16]","[0.079, 0.807, 0.062, 0.053]","[0.457, 0.223, 0.16, 0.16]","[0.042, 0.232, 0.678, 0.048]","[0.042, 0.079, 0.277, 0.602]","[0.042, 0.141, 0.771, 0.046]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.042, 0.042, 0.138, 0.778]","[0.429, 0.251, 0.16, 0.16]","[0.042, 0.147, 0.759, 0.053]","[0.042, 0.042, 0.184, 0.732]","[0.042, 0.164, 0.735, 0.06]","[0.042, 0.042, 0.227, 0.689]","[0.124, 0.723, 0.087, 0.066]","[0.042, 0.107, 0.807, 0.044]","[0.042, 0.042, 0.125, 0.791]","[0.13, 0.776, 0.051, 0.042]","[0.685, 0.11, 0.102, 0.102]","[0.042, 0.861, 0.056, 0.042]","[0.042, 0.042, 0.101, 0.814]","[0.042, 0.05, 0.864, 0.044]","[0.042, 0.042, 0.072, 0.845]","[0.688, 0.107, 0.102, 0.102]","[0.042, 0.195, 0.714, 0.048]","[0.042, 0.042, 0.233, 0.683]","[0.042, 0.86, 0.056, 0.042]","[0.675, 0.121, 0.102, 0.102]","[0.042, 0.128, 0.782, 0.048]","[0.042, 0.042, 0.149, 0.767]","[0.042, 0.133, 0.779, 0.047]","[0.042, 0.042, 0.126, 0.789]","[0.209, 0.706, 0.044, 0.042]","[0.688, 0.107, 0.102, 0.102]","[0.042, 0.169, 0.743, 0.046]"
"[0.484, 0.196, 0.16, 0.16]","[0.366, 0.39, 0.142, 0.102]","[0.034, 0.034, 0.11, 0.823]","[0.034, 0.128, 0.799, 0.038]","[0.034, 0.075, 0.079, 0.813]","[0.346, 0.431, 0.121, 0.102]","[0.034, 0.12, 0.808, 0.038]","[0.034, 0.034, 0.233, 0.7]","[0.034, 0.072, 0.852, 0.042]","[0.513, 0.167, 0.16, 0.16]","[0.034, 0.12, 0.805, 0.043]","[0.51, 0.17, 0.16, 0.16]","[0.114, 0.778, 0.066, 0.042]","[0.034, 0.034, 0.143, 0.79]","[0.224, 0.661, 0.063, 0.053]","[0.034, 0.302, 0.624, 0.039]","[0.034, 0.034, 0.187, 0.746]","[0.034, 0.083, 0.109, 0.775]","[0.502, 0.178, 0.16, 0.16]","[0.034, 0.07, 0.859, 0.037]","[0.034, 0.093, 0.824, 0.049]","[0.062, 0.842, 0.054, 0.042]","[0.034, 0.034, 0.2, 0.733]","[0.034, 0.058, 0.867, 0.042]","[0.034, 0.034, 0.143, 0.791]","[0.487, 0.193, 0.16, 0.16]","[0.109, 0.8, 0.05, 0.042]","[0.457, 0.223, 0.16, 0.16]","[0.034, 0.186, 0.742, 0.039]","[0.034, 0.063, 0.24, 0.663]","[0.034, 0.113, 0.815, 0.038]","[0.42, 0.26, 0.16, 0.16]","[0.479, 0.201, 0.16, 0.16]","[0.034, 0.034, 0.11, 0.822]","[0.429, 0.251, 0.16, 0.16]","[0.034, 0.118, 0.807, 0.043]","[0.034, 0.034, 0.147, 0.786]","[0.034, 0.227, 0.691, 0.048]","[0.034, 0.034, 0.182, 0.751]","[0.124, 0.723, 0.087, 0.066]","[0.034, 0.086, 0.845, 0.036]","[0.034, 0.034, 0.1, 0.833]","[0.104, 0.82, 0.042, 0.034]","[0.685, 0.11, 0.102, 0.102]","[0.034, 0.887, 0.047, 0.034]","[0.034, 0.034, 0.168, 0.764]","[0.034, 0.04, 0.891, 0.035]","[0.034, 0.034, 0.058, 0.876]","[0.688, 0.107, 0.102, 0.102]","[0.034, 0.182, 0.745, 0.038]","[0.034, 0.034, 0.186, 0.746]","[0.034, 0.887, 0.045, 0.034]","[0.731, 0.106, 0.082, 0.082]","[0.034, 0.102, 0.826, 0.038]","[0.034, 0.034, 0.125, 0.808]","[0.034, 0.106, 0.823, 0.038]","[0.034, 0.034, 0.165, 0.767]","[0.196, 0.735, 0.035, 0.034]","[0.688, 0.107, 0.102, 0.102]","[0.034, 0.159, 0.771, 0.037]"
